layer,neuron,score,explanation
25,1553,0.724719885, abbreviations and acronyms related to media and news outlets.
25,65,0.724347874,words related to firing weapons and shooting.
25,423,0.724077684,"words related to games, gaming, and virtual reality experiences."
25,329,0.720943152,"comparative values, especially related to high and low."
25,1787,0.713920428," instances of the word ""call"" and its surrounding context."
25,314,0.713902127,phrases related to resting and being still.
25,448,0.712595859,"instances of the word ""major"" and related words."
25,806,0.71137248," instances of the word ""back"" and its variations used in different contexts."
25,405,0.697605292, instances of the word 'how' often paired with adverbs or degree words.
25,1932,0.694378513,words and phrases related to providing evidence or support for a claim.
25,992,0.691488456," instances of the word 'true' and its related forms, with a focus on truthfulness or accuracy."
26,1630,0.853740833," words related to entering, entry, and initiation."
26,516,0.839570769, words and phrases related to the concept of 'final' or 'last'.
26,881,0.825217757, phrases related to events happening one time or in a single occurrence.
26,154,0.811063282,"contact-related words, mostly referring to getting in touch with someone."
26,1812,0.783280535," occurrences of the word ""those"" and related contextual words."
26,633,0.773414352," words related to valuable items, such as gems and precious stones."
26,920,0.738977885, phrases related to attempting or trying actions.
26,605,0.738157175," denial-related words and phrases, especially in the context of disputes or conflicts."
26,428,0.733351779," contrastive conjunctions, particularly ""but""."
26,1402,0.731694144, words and phrases related to the act of discovering or finding something.
26,1384,0.730995312,financial and banking related terms.
26,944,0.730943868,the word 'even' and related or nearby connecting phrases.
26,1463,0.723951794, words related to power and energy.
26,1779,0.719589309, terms related to filling and the position 'bottom'.
26,1944,0.716733449,occurrences of the word 'ever' and its surrounding context.
26,815,0.707986551,references to heads and head-related positions or features in various contexts.
26,1267,0.707434919,adjectives describing small and plastic items or materials.
26,1044,0.705052817,words and phrases related to modern concepts and developments.
26,1826,0.702542341, action verbs related to throwing or moving objects.
26,866,0.701632199,cryptocurrency and finance-related terms.
27,1946,0.857787034,"instances of the word ""getting"" and occasionally related concepts."
27,1168,0.824926693, past tense uses of the verb 'to be'.
27,1698,0.818389257,"the word ""fact"" and related expressions of certainty."
27,1581,0.81356698,words related to involvement and participation.
27,1923,0.807292632,the word 'ground' and phrases related to it.
27,1397,0.784961922, words indicating proximity or nearness.
27,1509,0.759697571,words or phrases related to uncleanliness or dirtiness.
27,1585,0.718426845,"the preposition ""for"" and related context."
27,488,0.71834127, instances of square brackets and related content.
27,260,0.717246877,words associated with water and hydration.
27,1076,0.712669924,"the preposition ""by"" followed by a noun or an accompanying aspect."
27,647,0.711972035," references to channels, shows, and stations."
27,43,0.706768455,"instances of the word ""once"" and its variations, often associated with events or situations that happened or will happen one time."
27,490,0.70355852,actions related to setting or lighting something.
27,498,0.698675998, words and phrases related to camps or gatherings.
27,653,0.697677497, words related to buildings and educational institutions.
27,215,0.690861477, phrases related to power or control.
27,1175,0.687777072,"the word ""what"" and related phrases focusing on questioning or discovery."
27,621,0.677775568,verbs related to discovering or identifying something.
27,1082,0.657671084, words and phrases related to German language and culture.
28,1864,0.845464387," the word ""most"" and occasionally other words displaying a degree of frequency or magnitude."
28,295,0.844399502,verbs related to movement or running out of something.
28,885,0.787360641, possessive pronouns related to people.
28,1672,0.764510251, verbs related to falling or dropping.
28,342,0.749732004, verb phrases related to making efforts or attempts.
28,1391,0.734878525, phrases containing 'the' with preceding or following hyphens.
28,496,0.699539479, verbs related to applying or using something.
28,361,0.696250848,"words related to results, decisions, and their outcomes."
28,252,0.694868329,words related to sand and round objects or concepts.
28,697,0.693822818, instances of the word 'same' and phrases involving comparisons.
28,516,0.690067307, phrases related to various levels of critical health conditions.
28,1224,0.687699977," phrases related to positions, specifically prepositions indicating upward movement or placement."
28,690,0.687079337,instances of the word 'passed' and its related prepositions or objects.
28,876,0.686731489,descriptive phrases related to depth or immersion.
28,1289,0.68533491," time expressions, particularly those involving hours and minutes."
28,1112,0.677131597," instances of buying, selling, and possessing items."
28,1631,0.641983478, parts of European words and names.
28,1545,0.638313848,words and phrases associated with risks and threats.
28,605,0.635023296, numerical values and their related time or century context.
28,1703,0.626398098,"instances of the word ""spot"" and related forms."
29,751,0.890643009," instances of the word ""only"" and the surrounding context."
29,768,0.842966895, words and phrases related to receiving advantages or benefits.
29,220,0.841248166, instances of contributing or having an influence on a situation or outcome.
29,378,0.772905357, words and phrases related to intentions and purpose.
29,180,0.7567343, the indefinite article 'a' and related phrases with 'a'.
29,674,0.741996982, words related to choosing or selecting.
29,1073,0.7247714,"instances of the verb ""going"" and related phrases."
29,821,0.705787632, words and phrases related to being known or acknowledged.
29,565,0.704307823,modal verbs related to ability or possibility.
29,1620,0.674828833," words and phrases related to movement, specifically jumping or bouncing."
29,709,0.671429873,phrases related to checking or verifying something.
29,934,0.667624607," words related to foundations, bases, or main elements."
29,1869,0.660422267," negations, focusing on the word ""no"" and expressions of non-occurrence."
29,1883,0.656288881,"expressions related to attentiveness, monitoring or verifying."
29,243,0.651333116, phrases related to class specializations in gaming contexts.
29,622,0.65026484,words and phrases indicating support or assistance.
29,1760,0.649001827,words related to rodents.
29,1940,0.640506539,word combinations indicating ability or capability.
29,328,0.63675807, adjectives related to large quantities or time periods.
29,1613,0.634936469," mathematical calculations involving numbers, symbols, and formulas."
30,1779,0.813681491, verbs related to making an effort or attempt.
30,1480,0.786588391, phrases related to focusing and paying attention.
30,1421,0.76508529, phrases related to dependency or reliance on certain factors or conditions.
30,877,0.76477224,"different variations of the word ""play"" in various contexts."
30,1029,0.763128095,verbs related to releasing or setting free.
30,1990,0.720945766,"comparisons, especially involving the word ""far"" and quantities."
30,572,0.704371281, words and phrases related to making choices and decisions.
30,792,0.69087973,"superlative words, especially those having a ""most"" or ""more"" prefix."
30,776,0.678161845," phrases containing the word ""such"" and other related modifiers."
30,1216,0.669232298," the word ""key"" and related meaningful phrases around it."
30,258,0.653312581," pronouns, particularly ""it"", along with their corresponding actions, states, or conditions."
30,1139,0.650297048,words and phrases related to the act of revealing or displaying.
30,705,0.644041691,"words and phrases indicative of position, height, or levels."
30,28,0.636282231," specific times, such as hours and minutes."
30,529,0.627906197, questions and short phrases preceding questions.
30,1923,0.621459916,words and phrases indicating ease and simplicity.
30,7,0.618832248, nouns related to educational institutions and their elements.
30,851,0.612654032,words and phrases related to religion and belief systems.
30,1224,0.612410083, words or phrases expressing uncertainty and probability.
30,363,0.609788042,mentions of high-level courts and related terms.
31,1196,0.838413103,"the word ""an"" or variations of it."
31,850,0.756458961," the word ""even"" and related punctuation or conjunctions."
31,554,0.747827337," occurrences of the word ""just"" and words closely related to it."
31,1556,0.721518323,censored or partially censored swear words or offensive language.
31,911,0.706550476, expressions of personal feelings or emotions.
31,1609,0.703301328,"words and phrases related to the ""top"" or highest element of something."
31,1458,0.686665076, actions related to turning or changing directions.
31,296,0.682039018,words and phrases related to being well-known or popular.
31,860,0.664318571, words and phrases related to expressing opinions or making arguments.
31,526,0.659335652,verbs and phrases related to hearing or listening.
31,1580,0.658926751, phrases related to focusing on specific aspects or topics.
31,1409,0.65062269, words related to the action of drawing or pulling something.
31,857,0.628623467,instances of someone or something joining or being part of a group.
31,982,0.613218249," instances of uncertain or conditional phrases, often involving ""would"" and contractions with ""-'d""."
31,255,0.611386975, hiring activities or situations related to hiring.
31,124,0.610726939,"words related to breaking, ending, or separating."
31,682,0.581128341,cleanliness-related words and phrases.
31,1911,0.565117532, abbreviations with a period following the abbreviated letter(s).
31,1997,0.55678646, activities or actions involving sensory experiences or physical substances.
31,577,0.553468474, phrases related to expressing intention or desire.
32,1766,0.731406321,"words related to motion or action, specifically with the root ""roll."""
32,1699,0.712827984, instances of the word 'this' and the context around it.
32,698,0.707297647,prepositions and phrases indicating a basis or dependence on something.
32,126,0.693520862, casual expressions and interjections.
32,745,0.683177289,"variations of the verb ""run"" along with context words that suggest the usage of ""run."""
32,1027,0.669553721,mentions of solar energy and related sources of power.
32,585,0.667472111,"words and phrases related to reducing, cutting, or diminishing."
32,364,0.662734105,"the word ""going"" and its related phrases or context."
32,1298,0.653397859,words related to drinks and consumption.
32,844,0.624816997," phrases emphasizing visual observation, such as ""you can see"" or ""as you can see."""
32,1497,0.624023173, instances of finding or discovering something.
32,1033,0.621739873, references to nationalities or countries.
32,1391,0.620855162,verbs related to understanding or realizing something.
32,345,0.592794861,phrases related to group activities or collective experiences.
32,849,0.588009079,verbs and phrases related to the process of creating or writing something.
32,1423,0.582848034,phrases related to evidence and its emerging or supporting nature.
32,1927,0.581149882, expressions of things that have never been experienced or encountered before.
32,939,0.580789882, words and phrases related to starting or beginning actions.
32,484,0.579086285," instances of the word ""it"" coupled with auxiliary verbs and adjective phrases."
32,1361,0.578449125, phrases related to adding or increasing something.
33,1353,0.716173157," phrases related to life, especially in the context of a person's life at stake or life-changing situations."
33,586,0.671800447,verbs and phrases related to seeking or searching for something.
33,487,0.66148805,verbs with 'come' in its different forms and tenses.
33,1496,0.661066081, phrases and words related to violation of laws and rules.
33,187,0.648327371," instances of the word ""off"" and closely related pronouns or phrases."
33,952,0.647785908,prepositions and phrases indicating a hidden or concealed location.
33,184,0.636549086,phrases related to a long duration or distance.
33,1940,0.625721391," verbs related to directing, pointing, or indicating."
33,1373,0.6152587,"phrases and words related to dividing, splitting or separating elements."
33,643,0.610478151, words and phrases related to the concept of creation or making.
33,1241,0.609602228, expressions of desire or intention.
33,1754,0.608187417, words related to colors and materials.
33,1331,0.567573802, phrases indicating being part of something or inclusion.
33,435,0.559066503," adjectives describing levels of transparency, honesty or openness."
33,1802,0.549357993, references to weekdays and times.
33,398,0.542758653," dates, days of the week, and related numbers."
33,577,0.537100462, numerical values related to sports statistics.
33,1978,0.529026999," words that are either known, partially known, or descriptive of known elements, leaning more towards the meaning of 'known'."
33,240,0.527498603, words and phrases related to focusing or paying attention.
33,552,0.52699937, creative activity roles and their associated actions.
34,133,0.762870315,"the word ""even"" and sentences where it's present."
34,1422,0.696575233, words and phrases related to connections and relationships.
34,842,0.680708651, occurrences of the word 'going' and variations of 'to be' with 'going'.
34,1345,0.664143839,directional phrases related to going down.
34,1740,0.643952661," instances of the word ""how"" in various contexts."
34,310,0.638240132, words and phrases related to motivation or incentives.
34,1708,0.630498525,words related to targeting or directing an action.
34,1019,0.628863647,"words related to exploration, discovery, and searching."
34,1607,0.590410184,"sequences of alphanumeric characters, typically found in URLs or identifiers."
34,1614,0.565024436,"prepositions and adjectives related to amounts, levels, or degrees."
34,1901,0.539104528, contractions and words indicating progress or change.
34,665,0.532996056,words related to quantities or degrees.
34,1407,0.532494678, sequences of numbers or alphanumeric strings.
34,1277,0.532097609, numerical values and related units of measurement.
34,1465,0.530808243," occurrences of the word ""post"" and its surrounding context."
34,1085,0.529048106, phrases related to animal sheltering or adoption.
34,214,0.523141015," contrasting conjunctions, such as ""but"" and ""though""."
34,697,0.51170328,"the word ""have"" and its accompanying context."
34,1329,0.508831329," numbers, particularly dates and large monetary values."
34,595,0.508682032, verbs describing actions involving handling or possession.
35,1470,0.773713693, words and phrases related to gaining an advantage or benefit.
35,578,0.734043709,"prepositions followed by a noun or pronoun, particularly focusing on the use of 'as' and its associated phrases."
35,1414,0.648114311," direct speech and quotations, with a focus on the action of speaking."
35,529,0.604786471, comparative and superlative adjectives or adverbs.
35,1676,0.596299506,expressions of affirmation or agreement.
35,1440,0.58620004,"actions or states involving sitting, resting, or being together in a group."
35,354,0.561793685," instances of the word ""it"" and nearby context words."
35,987,0.556828807,measurements and dimensions.
35,1467,0.555346799,words and phrases related to safety and security.
35,1417,0.536639355,words and phrases related to secrets and hidden information.
35,1130,0.534264456, numbers and related financial terms.
35,800,0.532679409, expressions of gratitude and uncertainty.
35,922,0.528251741,scientific terms and phrases related to demonstrating or showing evidence.
35,168,0.516822086, words related to the concept of 'natural' and its variations.
35,1708,0.510217498," numerical values or strings of numbers, especially those related to percentages and statistics."
35,870,0.507026191," instances of specific times, ranging from hours to minutes."
35,1537,0.506038705,"plural pronoun ""they"" and its variations (e.g., They, They've, they're)."
35,288,0.502838163, sports-related numbers and scores.
35,669,0.50105929, instances of someone going somewhere or performing an action.
35,695,0.499141777,phrases indicating conditional situations or variables.
36,475,0.764089568," instances of the preposition ""at"" and related phrases describing positions or locations."
36,818,0.739806998, instances of the preposition 'to'.
36,1111,0.677615948,"words and phrases related to distancing, separating, or positioning oneself."
36,985,0.641736561,phrases related to playing an important or significant role.
36,792,0.618872349, words related to checking or inspecting something.
36,1766,0.584503968, descriptions of what people are wearing.
36,1806,0.579541899," occurrences of the word ""one"" and its surrounding context."
36,997,0.577114046," punctuation, primarily the end of sentences indicated by periods or quotation marks."
36,1399,0.567479485,"words and phrases related to awards, recognition, and funding."
36,956,0.565854133, adverbs of time and immediacy.
36,961,0.564128784, numeric values with monetary or financial contexts.
36,1796,0.559367937, past and present tense verbs related to assumption and estimation.
36,398,0.559109986, verbs related to making choices or decisions.
36,794,0.547082206," numerical values, especially related to finances, prices, and percentages."
36,652,0.53047011,phrases related to things being composed or made up of other things.
36,464,0.528921705, numeric values and related words in a text.
36,1928,0.516994212, words and phrases related to quantity and presence.
36,1200,0.514422398, phrases indicating future actions or events.
36,718,0.51368987," occurrences of the indefinite article ""a"" and pronouns, particularly ""we"" and ""you""."
36,527,0.510184146,"possessive references, particularly with the word ""your""."
37,1201,0.686482461, the word 'an' and similar word beginnings with 'a' and 'an'.
37,826,0.662500636,words indicating a close examination or focus.
37,849,0.580892945, numbers and related quantitative expressions.
37,1722,0.577548747, occurrences of pronouns related to the subject.
37,443,0.567387171,verb phrases related to efforts or attempts.
37,1519,0.564803098," instances of the words ""can"" and ""be"" being used together."
37,904,0.563916416, possessive pronouns related to ownership or belonging.
37,811,0.559330608,"numbers and digits within the text, often related to statistics or quantities."
37,1588,0.553889554, contractions with auxiliary verbs.
37,149,0.552497939,comparative phrases using the word 'like' or 'same'.
37,515,0.536276145," instances where a person is speaking, mainly through the word ""said"" and related context."
37,1361,0.532777279," words related to specific titles, brands, or unique terms."
37,1765,0.521147811," numerical values, especially those related to money."
37,522,0.520634075,words related to attributes and actions of selling or offering items.
37,1835,0.505191373, numbers and their related units or contexts.
37,1293,0.505117411,"sequences of numbers, often related to dates, scores, or technical information."
37,1332,0.502869775,numerical values and words often found around numbers.
37,1852,0.497925763, words and phrases related to payment and pricing.
37,1196,0.493751976,instances of noticing or finding something.
37,696,0.487358128," phrases related to the concept of ""nothing"" or absence."
38,748,0.740449125," coordinating conjunctions, such as ""but"", and related connecting words."
38,1392,0.651868398,"punctuation marks, especially commas and quotation marks."
38,812,0.633024887," mentions of third person pronouns (he, she)."
38,1950,0.593962248,descriptions of clothing and appearance.
38,1265,0.579224161, numerical values and percentages.
38,719,0.57029423," words related to usage, force, or involvement in an action."
38,306,0.553655636,names and titles related to universities and institutions.
38,1609,0.550452813," alphanumeric combinations, often found in URLs and unique identifiers."
38,834,0.539997023," instances of the indefinite article ""an"" and its surrounding context."
38,492,0.528948909, instances of someone saying (responding or making a statement) in a conversation.
38,880,0.524465663, personal pronouns and related contractions in various contexts.
38,1774,0.518464236,"instances of the verb ""look"" and related phrases."
38,222,0.511593579, phrases related to asking questions.
38,677,0.507920124, numerical values and their associated units.
38,1680,0.507556999," contractions with auxiliary verbs such as 've, 're, 's, 'm, and negations like 't."
38,28,0.506603247," numerical values and related words, especially those associated with measurements and rankings."
38,155,0.501455553, numbers and related numerical values.
38,141,0.485646792," prepositions, especially 'of' and its variations in context."
38,277,0.485430935,"possibility and hypothetical situations, focusing on words like ""might,"" ""could,"" ""would,"" and ""if."""
38,521,0.478090823, words and phrases related to speaking or communication.
39,258,0.88812512, the word 'an'.
39,1751,0.690296981,expressions of interest and involvement.
39,1833,0.679202553," instances of bringing, moving, or taking objects or people."
39,1498,0.615682879, numerical values related to performance statistics.
39,524,0.59103199," instances of the word ""to"" and related phrases indicating a degree or a change in state."
39,1465,0.574524117," numerical values, especially values related to financial or quantitative data."
39,764,0.574234724, possessive phrases related to comparisons or classifications.
39,288,0.533759167, words and phrases related to living or staying in a location.
39,1019,0.520191558," academic and professional titles, and words related to academic achievements."
39,932,0.506774592, words and phrases related to temperature.
39,990,0.505513394, media sources and platforms.
39,1651,0.493844259," pronouns and contractions related to pronouns, such as ""it"", ""me"", ""they"", and ""'s""."
39,366,0.485030739,"specific items or elements, often in lists, and including product ingredients or names."
39,109,0.477415602," single letters or numbers, often in parenthesized contexts."
39,357,0.471356334, phrases and words related to feelings and emotions.
39,1399,0.464712553," patterns relating to time and duration, including hours, days, and weeks."
39,1947,0.463699146,"verbs indicating refusal, denial, or rejection."
39,12,0.458778205, phrases related to hard work and dedication.
39,732,0.456304769, expressions of gratitude and politeness.
39,984,0.444827388,technical terms related to computer hardware and storage devices.
40,402,0.714941662," words and phrases related to variations, differences, and change."
40,1849,0.62663314,"the pronoun ""I"" followed by expressions of personal experiences or opinions."
40,1310,0.556724487, punctuation marks and sentence endings.
40,1837,0.546918276," occurrences of the pronoun ""it"" and adjacent words in a dialogue or context."
40,1412,0.520554773,concepts and vocabulary related to incarceration and serving time.
40,171,0.51808318, references to teams and their interactions in sports.
40,892,0.518038857,"sensory descriptions, particularly related to smells and sounds."
40,885,0.49411361, phrases related to availability and transaction.
40,871,0.490664313," occurrences of the word ""view"" and mentions of ""Bachelor"" with a number."
40,9,0.490481342, phrases related to reaching conclusions or making connections.
40,449,0.473475757, code components and programming syntax.
40,1640,0.459700929, numbers and numerical values within a text.
40,441,0.455395603,descriptions related to physical appearance and characteristics.
40,403,0.454592806," numerical values, especially those related to money amounts."
40,1378,0.450699094, sequences of numbers.
40,933,0.450237272, numbers and units related to measurements and quantities.
40,1159,0.445960815, instances of punctuation and surrounding sentence structure.
40,1403,0.439452995," relationships, comparisons, and connections between words and ideas."
40,558,0.434387773, numerals and numbers related to age.
40,631,0.429640307, words and phrases related to natural events and disasters.
41,297,0.869450942," punctuation marks, especially periods, that indicate the end of a sentence or statement."
41,1636,0.812642818," occurrences of the indefinite article ""a""."
41,590,0.588800713," modal verbs expressing possibility, ability, or likelihood."
41,844,0.579026314, numerical values and words related to positions or locations.
41,1015,0.512375933, words and phrases related to motion or movement.
41,449,0.508561922,verbs related to displaying or indicating a quality or ability.
41,1739,0.508327736, instances of numbers and measurements.
41,1160,0.506095506, numerical data points or values.
41,230,0.504845985, numerical percentages.
41,1583,0.500034399," numbers, particularly version numbers and specifications."
41,419,0.49826995, technical and procedural instructions or steps.
41,1743,0.495457075," numbers and their related contexts, including durations, dates, and measurements."
41,934,0.494334569, personal pronouns followed by 's and seemingly focusing on subjects performing actions.
41,956,0.487978682, words related to accidents and disasters.
41,1641,0.477202895,"instances of people talking or explaining something in the first person perspective, particularly using 'we'."
41,546,0.476003223, verbs related to communication and expressing thoughts or feelings.
41,15,0.465956188, numbers and units of measurement.
41,361,0.460777227, phrases related to uncertainty or potential obstacles.
41,1685,0.459079136,numbers related to distances and speeds in athletic and speed competitions.
41,491,0.455072034," verbs related to planning, processing, and action."
42,785,0.713623887,the word 'not' and its surrounding context.
42,151,0.694991124,"time-related words, particularly focusing on the term 'earlier'."
42,1171,0.627974927, combinations of numbers and measurements.
42,350,0.627742221," instances of the word ""by"" followed by names or adjectives."
42,1886,0.605023882," instances of voting, decision-making, and approvals."
42,1525,0.551490133, numbers followed by commas or percentage signs.
42,676,0.537832074, abbreviations and initials.
42,978,0.534788118, numerical values and measurements.
42,136,0.511321888,words and numbers related to musical instrument features and specifications.
42,1620,0.510076884,"words and phrases related to agreement, disagreement, or affirmations."
42,453,0.510063692," instances of the pronoun ""it"" and other pronouns in the context of nearby words."
42,1289,0.506615615, periods followed by a quotation mark or a number.
42,192,0.505016876," expressions related to support, encouragement, and positive interaction."
42,1842,0.494384306, expressions of gratitude and appreciation.
42,1589,0.489702236,"punctuation marks used in sentence and list structures, such as commas, periods, and parentheses."
42,279,0.486772898, numerical data and related terms.
42,1138,0.486273345, end-of-sentence punctuation marks and words closely related to them.
42,197,0.482655534," dialogue phrases and direct speech, particularly focused on quotes and the verb ""said."""
42,1247,0.477414582, numbers and percentage symbols in the text.
42,1787,0.475542007,"keywords related to wealth, money, and social class."
43,191,0.784226998, articles 'an' and some associated compound words.
43,1648,0.763704965," instances of dialogue attribution, focusing on phrases including 'said'."
43,2,0.651463511, words related to the completion or ending of an action or event.
43,1751,0.648579086, auxiliary verbs in various forms.
43,1114,0.572677499," numbers, dates, and sequences of digits."
43,498,0.551642853," instances of the word ""one"" and minor numeric references."
43,39,0.542118626," words related to responding, commenting, and information sharing."
43,1633,0.524592588, numerical values and related measurements.
43,1329,0.521218866, words and phrases related to story elements and descriptions.
43,1507,0.520017557, ages and age-related phrases.
43,1453,0.489888713," sequences of numbers, often related to time, dates, and scores."
43,679,0.485928358, phrases related to learning and education.
43,1835,0.476939416, technical terms and units of measurement.
43,640,0.469120606, phrases related to workplace benefits and employee welfare.
43,134,0.46730097,award-related terms and phrases.
43,1922,0.467238202, sequences of numbers and alphanumeric characters.
43,1365,0.466066765," instances of the word 'has', along with associated actions or qualities."
43,878,0.464362649, auxiliary/modal verbs in different forms.
43,0,0.460383306, verbs related to potential actions or possibilities.
43,1014,0.453378576," numerical values, particularly within sequences or series of numbers."
44,31,0.597059634, pronoun-verb contractions and related pronouns.
44,1017,0.559203099, numeric values and associated units.
44,1013,0.558848582," pronouns, especially 'he'."
44,806,0.528386995, abbreviations and acronyms.
44,570,0.509299706,punctuation marks and quotation marks in the context of sentences.
44,230,0.482395432," imperative verbs and expressions, particularly related to looking or paying attention."
44,654,0.474219232," past tense verbs combined with ""ve"" (contraction of ""have"")."
44,29,0.467285277," sentence endings, including punctuation and numeric values that indicate emphasis or timing."
44,589,0.466802164,specific features and details of objects.
44,42,0.454109132," punctuation and small connecting words, with a focus on commas and quotes."
44,61,0.451762047, numbers and related symbols in sequences.
44,847,0.445629571, food-related words and phrases.
44,1584,0.437828531,"conditional phrases with ""whether"" and contrasting alternatives (or)."
44,1124,0.437767324,"titles and positions related to government, institutions, and organizations."
44,1199,0.422024898, expressions of gratitude and appreciation.
44,1129,0.409563026," names of people, characters, or organizations."
44,218,0.409282422, numbers or numeric measurements.
44,1741,0.404811851, phrases related to instructions and requirements.
44,1628,0.399991387,words indicating personal pronouns and contractions.
44,456,0.398208407,words related to infrastructure or technical systems.
45,758,0.838353656," sentences ending with a punctuation mark, primarily periods."
45,215,0.783274375," punctuations, especially commas, and some conjunctions."
45,1545,0.69132282, instances of advertisements and related spacing in the text.
45,1043,0.626871044,comparative terms indicating quantity or magnitude.
45,567,0.547731345," instances of people speaking, focusing on the presence of quotation marks and the verb 'said'."
45,1401,0.533331757," abbreviations related to countries, specifically the United States."
45,1952,0.493343516,sequences of connected numbers and series of similar patterns.
45,811,0.491666951," instances of the word ""the"" and closely following words or phrases."
45,630,0.479692877, numbers and numeric expressions.
45,1477,0.472808065, punctuation and its immediate context within the sentences.
45,558,0.465596065," names of organizations, institutions, or groups."
45,1710,0.446084513," numbers, especially connected to dates and amounts."
45,441,0.434394534," punctuation and newline spaces used to emphasize, separate, or informally indicate the end of a thought or action."
45,497,0.416777656, occurrences of the letter 'a' and words using the letter 'a'.
45,1462,0.41294839,"descriptions of material, texture, and design of clothing and footwear items."
45,1749,0.410401672, words and numbers related to loading and delays.
45,1539,0.408373418,"uppercase sequences of letters, typically within acronyms or emphasized text."
45,1394,0.403060716,"names of cities, companies, and events related to the automotive industry."
45,1159,0.399784556," academic, sports and organizational affiliations."
45,1869,0.395120474," numerical values, often associated with measurements or pricing information."
46,1167,0.704374505, the beginning of text or paragraph markers.
46,925,0.669344282, editing-related words and formatted elements.
46,1015,0.632201912, words and phrases indicating a contrast or transition in a statement.
46,1334,0.628875634,occurrences of the word 'the' and related variations.
46,438,0.574630854," ""an"" followed by a word or phrase, as well as detecting prepositions related to location or presence."
46,859,0.544900594,specific nouns related to objects or substances.
46,828,0.540159928," instances of the word ""has"" and words related to having or possessing."
46,1473,0.532510593, words and phrases related to errors or issues.
46,1468,0.520711203,names of places and addresses.
46,1692,0.507226665, position names and abbreviations related to hierarchies or titles.
46,1905,0.506865735," words and phrases related to materials, tools, and specific measurements."
46,275,0.489724028,"non-English characters, particularly special and accented characters."
46,1285,0.478508702, numerical values and related context.
46,1815,0.469320766,mentions of mayors and their related titles.
46,1857,0.462659499, numerical values and related technical details.
46,1362,0.460042829, words and phrases related to viewing and watching activities.
46,1714,0.450306499, sequences of capital letters and abbreviations.
46,1232,0.445848113," instances of having or possessing something, often related to a problem or an item."
46,432,0.438067763, personal pronouns and their connected verbs.
46,1974,0.424389947,"action verbs related to preparing or handling food, and certain conjunctions."
47,1289,0.813535735,"instances of the word ""very"" and its degree of emphasis."
47,1960,0.664679331, verbs and phrases related to assistance and support.
47,1480,0.630910356, articles like 'a' and 'the'.
47,1929,0.630369579,Japanese characters and symbols.
47,739,0.609190475, words and phrases related to transitional statements and prepositions.
47,1598,0.565510234, negations with verbs ending in 'n'.
47,284,0.547510572, the letter 'a' and words or phrases associated with groups of animals or items.
47,195,0.526915905," abbreviations, particularly related to titles and countries."
47,1296,0.517984281, phrases and words related to editing and customer service.
47,620,0.516579565, non-English characters and special symbols.
47,1938,0.495848014, references to CEOs and high-ranking executives.
47,20,0.492280124,"sequences of numbers, URLs, and code-like text."
47,656,0.478236409, parts of website code or text related to embedding and formatting.
47,324,0.47027301, numbers and elements connected to quantities.
47,409,0.443687764,uppercase letters and words in all capital letters.
47,1299,0.443558473, occurrences of the word 'we' and phrases indicating action or involvement.
47,1569,0.44160191," occurrences of time, specifically in relation to hours, minutes, and abbreviations like 'p.m.'."
47,1993,0.438396086,initials and single-letter elements in names.
47,27,0.435901784,"instances of the verb ""to be"" and its various forms."
47,942,0.434233263," instances of expansion or continuation, focusing on numbers and context shifting."
